short_content,true_category,predicted_category,confidence,second_predicted_category,second_confidence,top2_margin,is_correct,agent_decision,assigned_route,needs_human_review,agent_explanation
"2000 ve sonrasında emekli olanlar dikkat 2000 yılı ve sonrasında emekli olanlar için heyecanlı bekleyiş başladı. İntibakta düğüm bu hafta çözülecek İntibak için karar zamanı yaklaştı. Emeklilerin dört gözle beklediği intibak konusunda düğüm bu hafta çözülecek. 2000 yılından önce emekli olan 1.9 milyon kişi, bu yılın başında intibak zammına kavuştu. Bu düzenleme, 2000 yılı ve sonrasında emekli olan",ekonomi,ekonomi,0.9979265928268433,eğitim,0.0006679713260382414,0.997258621500805,True,Otomatik yönlendirme,Ekonomi haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Ekonomi haberleri editör masası birimine yönlendirildi.
"Sivok parayı istiy Beşiktaş ın Çek savunma oyuncusu Tomas Sivo sezon sonunda bitecek sözleşmesinin uzatılması konusunda yönetimin harekete geçtiği ancak fiyat konusunda arada büyük farkın olduğu bildirildi. Sh Beyazldar ın, Sivokun menaceri İri Miler ile görüşmelerini sürdürdüğü beürtflirken, hem sözleşmet şartlan hem de maddi açıdan ortak bir noktada buluşulmadbğt öğrenildi. Önümüzdeki sezon ücre",spor,spor,0.9996770620346069,dünya,5.752921788371168e-05,0.9996195328167232,True,Otomatik yönlendirme,Spor haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Spor haberleri editör masası birimine yönlendirildi.
"Lenovo Vibe Shot Profesyonel özelliklere sahip kameranın güçlü ve çekici akıllı telefon özellikleriyle bileşimi. BC puanı ! Özellikler i Performans . Ry i AKILLI TELEFON TEMEL BİLGİLER Fiyat:1.499TL Firma: Lenovo Web: www.tenovo.com.tr öne Çıkanlar: Güven veren tasarım, fotoğraf özellikleri veyüksek performans Model çeşitliliği ve rekabetçi fiyatlarıyla akıllı telef on dünyasında adından sıkça bah",teknoloji,teknoloji,0.9996559619903564,ekonomi,6.81695673847571e-05,0.9995877924229717,True,Otomatik yönlendirme,Teknoloji haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Teknoloji haberleri editör masası birimine yönlendirildi.
Çok beğendim ASABİ ADAM asabladam@stargazete.com Ne anlamsız bir sahne Muhteşem Yüzyıl neden herkesin sevdiği bir dizi olamadığını hiç düşündü mü acaba? Reytinge bakacak olursak düşünmesine ihtiyaç yok zira hala çok seyrediliyor. Ancak çok seyrediliyor olmak saygıyı beraberinde getirmiyor. Bu hafta diziye bir hamam sahnesi koymuşlar. Gerçeklikle alakası yok zira Şehzade yıkanırken kimse yanına eli,spor,kültürsanat,0.8053130507469177,dünya,0.15011394023895264,0.6551991105079651,False,Editör kontrollü yönlendirme,Kültür-sanat editör masası,True,Model güveni otomatik yönlendirme için yeterli değil veya kategori riskli grupta. Haber için önerilen kategori: kültürsanat. Kültür-sanat editör masası birimine yönlendirme önerilir ancak editör kontrolü gereklidir.
"??Akbank Sanat, Akbank Sanat Edebiyat Buluşmaları ile Türk edebiyatının usta kalemlerini ağırlamaya devam ediyor. Aralık ayı boyunca Küçük iskender in moderatörlüğünde düzenlenen söyleşilerin ikincisi, 16 Aralık taTürk dergi yayıncılığının önde gelen simge isimlerini bir araya getiriyor. KİMLER VAR? Türk edebiyatının kilometre taşları arasında yer alan dergilerin yaratıcı isimlerinin konuşmacı ola",kültürsanat,kültürsanat,0.9985888600349426,magazin,0.0005155341350473464,0.9980733258998953,True,Otomatik yönlendirme,Kültür-sanat editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Kültür-sanat editör masası birimine yönlendirildi.
"İnternete erişim yüzde 47.2ye üleşti? Lft www.inovax.net Türkiye İstatistik Kurumu (TUİK), Hanehalkı Bilişim Teknolojileri Kullanım Araştırması sonuçlarını açıkladı. Araştırma sonuçlarına göre Türkiye genelinde hanelerin yüzde 47,2 si evden internete erişim imkanına sahip. Bu oran 2011 yılının aynı ayında yüzde 42,9 idi. Evden internete erişim imkanı olmayan hanelerin yüzde 27,6 sı evden internete",teknoloji,teknoloji,0.999420166015625,ekonomi,0.0002202584728365764,0.9991999075427884,True,Otomatik yönlendirme,Teknoloji haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Teknoloji haberleri editör masası birimine yönlendirildi.
"YAN YATAN ARAÇTAKİ YOLCU YARALANDI Tekirdağ ın Çerkezköy ilçesinde sürücüsünün direksiyon hakimiyetini kaybetmesi sonucu yan yatan hafif ticari araçtaki bir kişi yaralandı. Edinilen bilgiye göre kaza, Çerkezköy-Kapaklı yolunda meydana geldi. Çerkezköy istikametine giden Mehmet İğce yönetimindeki 60 KS 176 plakalı hafif ticari aracı, iddiaya göre Yunsa Kavşağı ışıklar mevkiine gelmeden bir araç sık",dünya,dünya,0.9811680316925049,sağlık,0.012724095024168491,0.9684439366683364,True,Otomatik yönlendirme,Dünya haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Dünya haberleri editör masası birimine yönlendirildi.
New Matter MOD-t 3B Yazıcı Indıegago sitesine eklenen ve başarılı biçimde tamamlanan yeni bir proje uç boyutlu yazıcıları alınabilir seviyeye getirmeyi hedefliyor. Teknolojik anlamda bir iddiası olmayan ama üç boyutlu nesneleri sorunsuz biçimde basabilen bu ufak boyutlu 3B yazıcı New Matter MOD-t olarak adlandırılıyor. Aynı anda hareket destekli cıft eksenli hareket sistemi sayesinde hayli ufak bi,teknoloji,teknoloji,0.9996575117111206,gündem,7.959656068123877e-05,0.9995779151504394,True,Otomatik yönlendirme,Teknoloji haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Teknoloji haberleri editör masası birimine yönlendirildi.
liW NEREDE NE VAR NEVVYORK Kurgusal açıdan İngiliz genç sanatçı Lynette Yiadom-Boakye nin kişisel sergisi AH Manner of Needs New York taki Jack Shainman Galeri de açıldı. Sanatçı bu seride kurgusal objelere yoğunlaşıyor. 13 Ekim e kadar görülebilir. www. j ackshainman.com LONDRA Modern Munch Edvard Munch un Çığlık ının sanat dünyasında yarattığı durumu bilmeyen yoktur. Kendisi 19. yüzyıl sanatçısı,kültürsanat,kültürsanat,0.9982110261917114,magazin,0.0009348621242679656,0.9972761640674435,True,Otomatik yönlendirme,Kültür-sanat editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Kültür-sanat editör masası birimine yönlendirildi.
Doğayla Birlikte Çalışmak PERMAKÜLTÜR TASARIM SERTİFİKASI eğitimleri yaşadığımız yerleri sürdürülebilir yerleşimlere dönüştürecek tasarımlar yapabilmek için gerekli beceri ve yetkinliklerin edinildiği bir dizi uygulamalı çalışmayı temel alıyor. Eğitime katılanlar bozulmuş bir doğal alanı permakültür prensiplerine göre yeniden tasarlıyor. Ekoloji temelli eğitimler konusunda Türkiye son yıllarda old,kültürsanat,kültürsanat,0.7375820279121399,eğitim,0.1364973485469818,0.6010846793651581,True,Editör kontrollü yönlendirme,Kültür-sanat editör masası,True,Model güveni otomatik yönlendirme için yeterli değil veya kategori riskli grupta. Haber için önerilen kategori: kültürsanat. Kültür-sanat editör masası birimine yönlendirme önerilir ancak editör kontrolü gereklidir.
