example_type,short_content,true_category,predicted_category,confidence,is_correct
correct_high_confidence,"Hong Kong da iki aydır hükmet karşıtı gösteri yapan öğrenci temsilcilerinin, Çinli üst düzey yetkililerle görüşmek için Çin in başkenti Pekin e gelmesine izin verilmedi. Çin in 2017 de Hong Kong daki genel seçimlere müdahale ettiği gerekçesiyle Hong Kong Özel İdari Bölgesi yönetimini protesto eden göstericilerin başını çeken Hong Kong Öğrenci Federasyonu nun Genel Sekreteri Alex Chow, seslerini Çinli liderlere duyurabilmek için Pekin e gitme girişimlerinin engellendiğini belirtti. Chow, Cathay P",dünya,dünya,0.99935395,True
correct_high_confidence,"Katliam endişesi Birleşmiş Milletler (BM), bir aydan fazla süredir iç çatışmaların sürdüğü Güney Sudan da kitlesel katliamlar yaşanmasından endişe ediyor. BM Genel Sekreteri nin insan Haklarından Sorumlu Yardımcısı Ivan Simonovic, Güney Sudan da çeşitli çatışma bölgelerinde yaptığı incelemelerin ardından Juba da gazetecilere yaptığı açıklamada, ülkedeki durumu korkunç olarak niteledi. Ziyaret ettiği bölgelerde iki tarafın da katliamlar yaptığını öğrendiğini ifade eden Simonovic, ülkede yargısız ",dünya,dünya,0.99934775,True
correct_high_confidence,"Azerbaycan da 1 günlük ulusal yas ilan edildi Azerbaycan da ı işçinin hayatını kaybettiği ve 29 kişinin halen kayıp olduğu Hazar Denizi ndeki petrol platformunda yaşanan facia sonrasında, 1 günlük ulusal yas ilan edildi. Hazar Denizi ndeki Güneşli platformunda yaşanan trajedi için 6 Aralık tarihinde Cumhurbaşkanı İlham Aliyev in talimatıyla ülke genelinde ı günlük ulusal yas ilan edildi. Cuma günü yerel saatle 17.40 ta meydana gelen kasırganın oluşturduğu dalgaların platformdaki gaz hattını tahr",dünya,dünya,0.99934727,True
wrong_high_confidence,"Sayısal uçurum da eski hikaye... Londra ela ıı Dünyaya ısı Kuzey-Güney bölünmesi, Internefde sürüyor Burada gördüğünüz gazete kesiti, bugün de süren bir sorunun 19 yıl önceki durumu... 1995 te interneti dünya üzerinde kullananların sayısı sadece 40 milyonken bile sayısal uçurum diye bir konu varmış. Şu farkla: Adı, sayısal uçurum değil henüz, KuzeyGüney Bölünmesi... Ben o yıllarda Londra da BBC de prodüktör olarak çalışıyordum. Ve Cumhuriyet muhabiriydim. Bilim ve teknoloji haberlerine yatkınlığ",dünya,teknoloji,0.99947554,False
wrong_high_confidence,"Bu İşi Başaramamışlar FETÖ cü cuntacılar, darbe girişimi gecesinde, Erdoğan Almanya ya kaçtı haberi yalan çıkınca sivil kıyafet giyip masum rolüne bürünmüş Hain darbe girişiminde FETÖ cü cuntacıların Cumhurbaşkanı Recep Tayyip Erdoğan için o gece 1 numara Almanya ya kaçtı diyerek kendilerini motive ettikleri ortaya çıktı. Konuyla ilgili yapılan soruşturmada ifadesi alınan Binbaşı Aziz Onur, Genelkurmay da bir yüzbaşının kendisine 1 numara Almanya ya kaçmış, başardık bu işi dediğini aktararak, bu",dünya,siyaset,0.9994147,False
wrong_high_confidence,Donanmadan 9 çuval şantaj belgesi çıktı Ergenekon savcısına gelen isimsiz e-posta ihbanyla harekete geçen polis Gölcük Donanma Komutanlığında arama yaptı. Aramada oda tabanına gizlenmiş 9 çuval belgeye el konuldu. Geçtiğimiz ekim ayında Gölcük ve Gebze de askeri casusluk soruşturması kapsamında gerçekleştirilen Gebze deki TÜBİTAK tan 4 kriptoloji uzmanı ile Gölcük te yüksek rütbeli subayların aralarında olduğu 14 askerin gözaltına alındığı operasyonun devamında önceki gün Donanma Komutanlığında ,dünya,siyaset,0.9993325,False
correct_high_confidence,"MADO Orta Doğu ve Uzak Doğu dan sonra Avrupa da büyüyecek Açılan yeni şubelerle mağaza sayısını 286 ya ulaştıran Mado Türkiye. Uzak Doğu ve Orta Doğu dan sonra şimdi de Avrupa da büyüyecek. Bu yılın ilk çeyreğinde 6 yeni şube açan marka, yılı 45 yeni şube daha açarak 331 mağaza ile kapatacak. Yurtdışında da şube sayısını 14 ten 19 a çıkaracaklarını söyleyen Mado Genel Koordinatörü Mehmet Yılmazoğlu. uluslararası markalaşma stratejisi kapsamında bu yıl içinde Hollanda da ilk olmak üzere Azerbayca",ekonomi,ekonomi,0.99938667,True
correct_high_confidence,"Yahyalı elmasını en çok İtalyanlar ve Ruslar alıyor KAYSERI nin Yahyalı ilçesinde elma rekoltesi 110 bin tonun üzerinde gerçekleşiyor. 40 bin tona yakım soğuk havada muhafaza edilen elmanın belli miktarı ise ihraç ediliyor. Sertliği ve glikoz oranı nedeniyle tercih edilen Yahyalı elmasım en çok İtalyan ve Ruslar talep ediyor. Yahyalı Belediye Başkam Mehmet Araç, ilçelerde yapılan elma üretiminin önemli oranda artığım ve elma yetiştiriciliği başta olmak üzere birçok tarımsal alanda yatırımların y",ekonomi,ekonomi,0.999385,True
correct_high_confidence,"Ette fahiş kar dönemi bitti yüzde 10 bize yeter Türkiye deki et fiyatlarını ? ? ?? ??? ? dengelemek ıçm geldik Turizmci Mehmet Eresin, Mersin de hayvancılık yapacak. 30 milyon dolarlık yatırımla 25 bin başlık çiftlik kurmaya hazırlanan Eresin, Türkiye de hayvancılıktan yüzde 150 kazanma devri bitti dedi # Advanced Finans Direktörü Martin Manglitz Mehmet Eresin Dirk Protzen Ebru ERDOĞAN İthal ete kapılarını açan Türkiye, büyük hayvan stoklarına sahip Güney Amerikalı şirketlerin de ilgi odağı oldu",ekonomi,ekonomi,0.9993774,True
wrong_high_confidence,"Savunma sanayicileri buluşuyor Bursa Sanayicileri ve İşadamları Derneği (BUSİAD) ile Savunma ve Havacılık Sanayii İmalatçıları Derneği (SASAD) işbirliğinde ilki Bursa da düzenlenen buluşmanın ikinci ayağı Ankara da gerçekleşiyor. Savunma Sanayicileri Ankara Buluşması adıyla düzenlenecek etkinlikte ikili görüşmeler gerçekleştirecek. İlki Bursa da Savunma Sanayicileri Bursa Buluşması adıyla düzenlenen, Bursalı sanayiciler ile SASAD üyelerini çözüm ortaklıkları oluşturulması amacıyla bir araya geti",ekonomi,gündem,0.9996145,False
