true_category,predicted_category,count
kültürsanat,magazin,76
magazin,kültürsanat,55
kültürsanat,dünya,45
kültürsanat,ekonomi,43
ekonomi,teknoloji,39
kültürsanat,siyaset,37
kültürsanat,sağlık,37
siyaset,eğitim,36
siyaset,dünya,31
dünya,kültürsanat,29
teknoloji,ekonomi,28
dünya,siyaset,27
ekonomi,kültürsanat,27
kültürsanat,teknoloji,25
eğitim,siyaset,24
sağlık,dünya,23
ekonomi,sağlık,20
kültürsanat,eğitim,20
eğitim,sağlık,20
teknoloji,kültürsanat,20
teknoloji,sağlık,19
siyaset,kültürsanat,18
gündem,teknoloji,17
dünya,sağlık,17
ekonomi,dünya,17
dünya,eğitim,16
sağlık,teknoloji,16
ekonomi,eğitim,15
eğitim,ekonomi,15
sağlık,kültürsanat,15
sağlık,ekonomi,14
eğitim,kültürsanat,14
teknoloji,gündem,13
teknoloji,eğitim,12
ekonomi,siyaset,12
ekonomi,gündem,11
eğitim,teknoloji,10
dünya,ekonomi,10
sağlık,siyaset,10
siyaset,ekonomi,9
kültürsanat,spor,9
sağlık,eğitim,8
gündem,dünya,7
eğitim,dünya,7
sağlık,magazin,7
dünya,magazin,6
spor,magazin,6
spor,eğitim,6
magazin,dünya,6
eğitim,spor,6
siyaset,sağlık,5
spor,kültürsanat,5
magazin,teknoloji,5
teknoloji,magazin,4
magazin,eğitim,4
dünya,teknoloji,4
sağlık,spor,4
teknoloji,dünya,3
dünya,spor,3
magazin,spor,3
gündem,ekonomi,3
magazin,sağlık,3
teknoloji,siyaset,3
ekonomi,magazin,2
spor,ekonomi,2
siyaset,gündem,2
magazin,siyaset,2
siyaset,spor,2
eğitim,gündem,2
gündem,eğitim,2
ekonomi,spor,2
kültürsanat,gündem,2
dünya,gündem,1
gündem,siyaset,1
gündem,sağlık,1
siyaset,magazin,1
spor,siyaset,1
siyaset,teknoloji,1
spor,dünya,1
teknoloji,spor,1
