short_content,true_category,predicted_category,confidence,second_predicted_category,second_confidence,top2_margin,is_correct,agent_decision,assigned_route,needs_human_review,agent_explanation
"İndirime kanmayın isviçre Seyahat Acenteleri Federasyonu, yurtdışına çıkacak vatandaşlarına terör riski yüksek olmasından dolayı Türkiye başta olmak üzere ispanya ve Portekiz deki indirim fırsatlarına kanmamaları gerektiğini ifade etti. isviçre Seyahat Acenteleri Federasyonumdan yurt dışına gidecek vatandaşlarına seyahat uyarısı geldi. Federasyon, Türkiye başta olmak üzere ispanya ve Portekiz de t",dünya,ekonomi,0.9357523322105408,dünya,0.0586028844118118,0.8771494477987289,False,Otomatik yönlendirme,Ekonomi haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Ekonomi haberleri editör masası birimine yönlendirildi.
"Ç- -C - K Kurtarıcı ana-baba olmayın... Geleceklerini Okulda Diyabet başladı Çoğu anne-baba, doğru olmadığını bile bile çocuklarına karşı aşırı hoşgörülü, aşırı koruyucu ve aşırı kurtarıcı davranır. Çocuklar daha mutlu olsun diye yapılan bu yanlışlar, ne yazık ki onları sorumluluktan, hedef sahibi olmaktan ve başarıya ulaşmaktan alıkoyabilir. Eyüboğlu Eğitim Kurumları Çamlıca Kampusu nda düzenlene",sağlık,eğitim,0.9969780445098876,sağlık,0.0014871284365653,0.9954909160733224,False,Otomatik yönlendirme,Eğitim haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Eğitim haberleri editör masası birimine yönlendirildi.
"Güneşten korunmak için Tom Ford gözlük koleksiyonu Gemi seyahatlerinde yarımıza alacağınız ilk aksesuarlardan biri olan gözlük sevimi sun derece önemlidir. Tom Ford gözlük koleksiyonu bu yaz klasik, zamansız, günün her anında kullanılabilen parçalardan ilham alına rak tasarlandı. Koleksiyonda 1950 ler kendini yemden gösterecek. Sarışın ıkonların. masum yüzlerin ünlü olduğu senelerden günümüze kada",magazin,kültürsanat,0.969874918460846,magazin,0.0159748196601867,0.9539000988006592,False,Otomatik yönlendirme,Kültür-sanat editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Kültür-sanat editör masası birimine yönlendirildi.
"EKUV0H IBM in geleceğin yazılımcılarını yetiştirmek amacıyla gerçekleştirdiği IBM Yazılım Akademisi 2011 yarışmasına kayıtlar başladı. Başvuruları 31 Aralık 2010 a kadar sürecek yarışmanın ana teması: Akıllı Dünya Çağına Hoş Geldiniz p İki 2008 yılında gerçekleştirilen ve bugüne kadar 3400 öğrencinin katıldığı IBM Yazılım Akademisi başlıyor. Kayıtların 31 Aralık 2010 a kadar süreceği, final raporu",gündem,teknoloji,0.9950426816940308,gündem,0.0039288043044507,0.99111387738958,False,Otomatik yönlendirme,Teknoloji haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Teknoloji haberleri editör masası birimine yönlendirildi.
"Sosyal Sorumluluk Projeleri Boğaziçi Üniversitesi Görme Engelliler Teknoloji Laboratuvarı (GETEM) ve Türk Telekom, Türkiye nin ilk telefon kütüphanesini hayata geçirdi. Telefon Kütüphanesi Projesi ile yüzlerce sesli kitap 0 800 219 91 91 numaralı telefon üzerinden görme engelli Türk Telekom müşterilerine ev telefonları üzerinden ücretsiz olarak r sunuluyor. GETEM ve Türk Telekom işbirliği ile haya",eğitim,teknoloji,0.9995208978652954,ekonomi,0.0001307182537857,0.9993901796115096,False,Otomatik yönlendirme,Teknoloji haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Teknoloji haberleri editör masası birimine yönlendirildi.
"2 YILDIR YATIRIM YAPIYOR Samsung 5G yi test etti geçer notu aldı Samsung Electronics, Çin Mobil Araştırma Enstitüsü (CMRI) ile birlikte 5G prototip denemesini başarıyla tamamladı. Şirketten yapılan açıklamaya göre, Pekin de gerçekleştirilen 5G deneme testi sırasında, uzaysal modülasyon ve FBMC (Süzgeç Öbeği Çoklu Taşıyıcı) gibi önemli teknolojiler üzerinde çalışıldı. Bu teknolojilerin düşük frekan",gündem,teknoloji,0.9993075132369996,gündem,0.0003715477359946,0.9989359655010048,False,Otomatik yönlendirme,Teknoloji haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Teknoloji haberleri editör masası birimine yönlendirildi.
"Cezaevine ziyarete gitti, tutuklandı Denizli den Çine ye gelerek cezaevinde yatan oğlunu ziyaret eden kadın, Denizli Cumhuriyet Savcılığı tarafından uyuşturucu satmak suçundan arandığı tespit edilince tutuklandı. Edinilen bilgiye göre, Çine A-3 Tipi Kapalı Cezaevinde işlediği bir suçtan dolayı mahkum olan M.C. nin ziyaretine gelen anne G.C. nin (63) daha önceden hakkında uyuşturucu satmak suçundan",siyaset,dünya,0.9931498169898988,siyaset,0.003747264156118,0.9894025528337806,False,Otomatik yönlendirme,Dünya haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Dünya haberleri editör masası birimine yönlendirildi.
"Mardin turizmine terör darbesi Terör, Mardin turizmine darbe vurdu. Kentte, 6-8 Ekim olaylarından bu yana 7 otel kapandı, 6oo ü aşkın kişi işsiz kaldı. Mardin Turizm ve Otelciler Derneği (MARTOD) Başkanı Özgür Azad Güngör, turizmcilerin büyük zorluklar yaşadıklarını vurguladı. Terör, Güneydoğu nun turizm merkezlerinden olan Mardin e büyük darbe vurdu. Çözüm süreciyle birlikte şahlanan kent turizmi",kültürsanat,ekonomi,0.9970520734786988,kültürsanat,0.0019871131516993,0.9950649603269994,False,Otomatik yönlendirme,Ekonomi haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Ekonomi haberleri editör masası birimine yönlendirildi.
"BİR GRUP ÖĞRENCİ, BELEDİYE BAŞKANI YILMAZI ZİYARET E Vize ilçesindeki, Adalet Erez İlköğretim Okulu 4 A sınıfı öğrencileri, Belediye Başkanı Selçuk Yılmaz ı makamında ziyaret etti. Öğrenciler, sınıf öğretmenleri Nuri Barış İnce gözetiminde, okulda sosyal bilgiler dersinde yerel yönetimler konusunu işledikten sonra Vize Belediyesine gitti. Öğrenciler, Belediye Zabıta Komiseri Rasim Bahçıvan eşliğin",siyaset,eğitim,0.9961769580841064,kültürsanat,0.0018339594826102,0.9943429986014962,False,Otomatik yönlendirme,Eğitim haberleri editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Eğitim haberleri editör masası birimine yönlendirildi.
"e İKİ BAŞARILI İŞADAMI, KİLE RESTAURANT DA BULUŞUP SOHBET EHİ! HM ajs5 Türkiye nin önde gelen aydınlatma firmalarından Özartaş Avize nin sahibi Altay Özgen ve Pelit Pastaneleri nin sahibi Selahattin Ayan, Etiler deki Kile Restaurant da buluşup sohbet ettiler. Hayli keyifli bir ortamda geçen buluşmada Altay Özgen ve Selahattin Ayan birbirlerinin başanlı çalışmalarından övgüyle bahsederken gelecek p",magazin,kültürsanat,0.959602415561676,magazin,0.0386469066143035,0.9209555089473724,False,Otomatik yönlendirme,Kültür-sanat editör masası,False,Model tahmine yüksek güven duyuyor ve ikinci tahminle arasındaki fark yeterli. Haber doğrudan Kültür-sanat editör masası birimine yönlendirildi.
